Month,Vertical,Horizontal,Client,Project Id,Project Name,Grade,Onsite/Offshore,Count
Jan,BFS,Analytics,Morgan Stanley,98,Morgan Stanley_Analytics_project,Senior Associate,Offshore,2
Jan,BFS,Analytics,New York Life Insurance,220,New York Life Insurance_Analytics_project,Analyst,Onsite,1
Jan,BFS,Analytics,New York Life Insurance,220,New York Life Insurance_Analytics_project,Contractor,Offshore,5
Jan,BFS,Analytics,New York Life Insurance,220,New York Life Insurance_Analytics_project,Contractor,Onsite,3
Jan,BFS,Analytics,New York Life Insurance,220,New York Life Insurance_Analytics_project,Manager,Offshore,2
Jan,BFS,Analytics,New York Life Insurance,220,New York Life Insurance_Analytics_project,Senior Associate,Offshore,1
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Analyst,Offshore,1
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Associate,Offshore,1
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Contractor,Offshore,2
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Contractor,Onsite,3
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Director,Offshore,1
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Director,Onsite,1
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Manager,Offshore,2
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Senior Associate,Offshore,2
Jan,BFS,Analytics,Prudential Financial,197,Prudential Financial_Analytics_project,Senior Manager,Onsite,1
Jan,BFS,Analytics,Wells Fargo,203,Wells Fargo_Analytics_project,Analyst,Offshore,3
Jan,BFS,Analytics,Wells Fargo,203,Wells Fargo_Analytics_project,Contractor,Offshore,5
Jan,BFS,Analytics,Wells Fargo,203,Wells Fargo_Analytics_project,Contractor,Onsite,1
Jan,BFS,Analytics,Wells Fargo,203,Wells Fargo_Analytics_project,Director,Offshore,2
Jan,BFS,Analytics,Wells Fargo,203,Wells Fargo_Analytics_project,Manager,Offshore,2
Jan,BFS,Analytics,Wells Fargo,203,Wells Fargo_Analytics_project,Senior Associate,Offshore,1
Jan,BFS,Cloud,J.P. Morgan Chase,72,J.P. Morgan Chase_Cloud_project,Analyst,Offshore,2
Jan,BFS,Cloud,J.P. Morgan Chase,72,J.P. Morgan Chase_Cloud_project,Associate,Offshore,1
Jan,BFS,Cloud,J.P. Morgan Chase,72,J.P. Morgan Chase_Cloud_project,Contractor,Offshore,2
Jan,BFS,Cloud,J.P. Morgan Chase,72,J.P. Morgan Chase_Cloud_project,Senior Associate,Offshore,1
Jan,BFS,Cloud,Lehman Brothers Hldgs.,281,Lehman Brothers Hldgs._Cloud_project,Analyst,Offshore,2
Jan,BFS,Cloud,Lehman Brothers Hldgs.,281,Lehman Brothers Hldgs._Cloud_project,Associate,Offshore,2
Jan,BFS,Cloud,Lehman Brothers Hldgs.,281,Lehman Brothers Hldgs._Cloud_project,Contractor,Offshore,5
Jan,BFS,Cloud,Lehman Brothers Hldgs.,281,Lehman Brothers Hldgs._Cloud_project,Contractor,Onsite,1
Jan,BFS,Cloud,Lehman Brothers Hldgs.,281,Lehman Brothers Hldgs._Cloud_project,Director,Offshore,1
Jan,BFS,Cloud,Lehman Brothers Hldgs.,281,Lehman Brothers Hldgs._Cloud_project,Senior Manager,Offshore,1
Jan,BFS,Cloud,Lehman Brothers Hldgs.,281,Lehman Brothers Hldgs._Cloud_project,Senior Manager,Onsite,1
Jan,BFS,Cloud,New York Life Insurance,219,New York Life Insurance_Cloud_project,Associate,Offshore,1
Jan,BFS,Cloud,New York Life Insurance,219,New York Life Insurance_Cloud_project,Contractor,Offshore,2
Jan,BFS,Cloud,New York Life Insurance,219,New York Life Insurance_Cloud_project,Contractor,Onsite,2
Jan,BFS,Cloud,New York Life Insurance,219,New York Life Insurance_Cloud_project,Director,Offshore,1
Jan,BFS,Cloud,New York Life Insurance,219,New York Life Insurance_Cloud_project,Manager,Offshore,1
Jan,BFS,Cloud,Prudential Financial,196,Prudential Financial_Cloud_project,Contractor,Offshore,5
Jan,BFS,Cloud,Prudential Financial,196,Prudential Financial_Cloud_project,Contractor,Onsite,1
Jan,BFS,Cloud,Prudential Financial,196,Prudential Financial_Cloud_project,Manager,Onsite,1
Jan,BFS,Cloud,Wells Fargo,202,Wells Fargo_Cloud_project,Analyst,Offshore,7
Jan,BFS,Cloud,Wells Fargo,202,Wells Fargo_Cloud_project,Analyst,Onsite,1
Jan,BFS,Cloud,Wells Fargo,202,Wells Fargo_Cloud_project,Associate,Offshore,2
Jan,BFS,Cloud,Wells Fargo,202,Wells Fargo_Cloud_project,Contractor,Offshore,3
Jan,BFS,Cloud,Wells Fargo,202,Wells Fargo_Cloud_project,Contractor,Onsite,1
Jan,BFS,Cloud,Wells Fargo,202,Wells Fargo_Cloud_project,Director,Offshore,1
Jan,BFS,Cloud,Wells Fargo,202,Wells Fargo_Cloud_project,Manager,Offshore,2
Jan,BFS,HCM,American Express,276,American Express_HCM_project,Analyst,Onsite,3
Jan,BFS,HCM,American Express,276,American Express_HCM_project,Associate,Offshore,2
Jan,BFS,HCM,American Express,276,American Express_HCM_project,Associate,Onsite,1
Jan,BFS,HCM,American Express,276,American Express_HCM_project,Contractor,Offshore,2
Jan,BFS,HCM,American Express,276,American Express_HCM_project,Contractor,Onsite,1
Jan,BFS,HCM,American Express,276,American Express_HCM_project,Senior Associate,Offshore,1
Jan,BFS,HCM,American Express,276,American Express_HCM_project,Senior Associate,Onsite,1
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Analyst,Offshore,2
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Analyst,Onsite,3
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Associate,Onsite,1
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Contractor,Offshore,4
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Director,Offshore,1
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Manager,Offshore,2
Jan,BFS,HCM,Bank of America Corp.,66,Bank of America Corp._HCM_project,Manager,Onsite,1
Jan,BFS,HCM,ChevronTexaco,25,ChevronTexaco_HCM_project,Analyst,Offshore,1
Jan,BFS,HCM,ChevronTexaco,25,ChevronTexaco_HCM_project,Associate,Onsite,1
Jan,BFS,HCM,ChevronTexaco,25,ChevronTexaco_HCM_project,Contractor,Offshore,1
Jan,BFS,HCM,ChevronTexaco,25,ChevronTexaco_HCM_project,Contractor,Onsite,1
Jan,BFS,HCM,ChevronTexaco,25,ChevronTexaco_HCM_project,Manager,Offshore,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Analyst,Offshore,7
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Analyst,Onsite,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Contractor,Offshore,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Contractor,Onsite,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Director,Offshore,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Manager,Offshore,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Manager,Onsite,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Senior Associate,Offshore,2
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Senior Manager,Offshore,1
Jan,BFS,HCM,Citigroup,22,Citigroup_HCM_project,Senior Manager,Onsite,1
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Analyst,Offshore,1
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Associate,Offshore,2
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Contractor,Offshore,3
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Contractor,Onsite,1
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Director,Onsite,1
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Manager,Offshore,1
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Senior Associate,Offshore,1
Jan,BFS,HCM,Fannie Mae,69,Fannie Mae_HCM_project,Senior Associate,Onsite,1
Jan,BFS,HCM,Freddie Mac,136,Freddie Mac_HCM_project,Analyst,Offshore,2
Jan,BFS,HCM,Freddie Mac,136,Freddie Mac_HCM_project,Analyst,Onsite,1
Jan,BFS,HCM,Freddie Mac,136,Freddie Mac_HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Freddie Mac,136,Freddie Mac_HCM_project,Contractor,Offshore,3
Jan,BFS,HCM,Freddie Mac,136,Freddie Mac_HCM_project,Manager,Offshore,1
Jan,BFS,HCM,Freddie Mac,136,Freddie Mac_HCM_project,Senior Manager,Offshore,3
Jan,BFS,HCM,Goldman Sachs Group,172,Goldman Sachs Group_HCM_project,Analyst,Offshore,2
Jan,BFS,HCM,Goldman Sachs Group,172,Goldman Sachs Group_HCM_project,Analyst,Onsite,3
Jan,BFS,HCM,Goldman Sachs Group,172,Goldman Sachs Group_HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Goldman Sachs Group,172,Goldman Sachs Group_HCM_project,Contractor,Offshore,2
Jan,BFS,HCM,Goldman Sachs Group,172,Goldman Sachs Group_HCM_project,Contractor,Onsite,1
Jan,BFS,HCM,Goldman Sachs Group,172,Goldman Sachs Group_HCM_project,Director,Offshore,1
Jan,BFS,HCM,Goldman Sachs Group,172,Goldman Sachs Group_HCM_project,Senior Associate,Offshore,1
Jan,BFS,HCM,J.P. Morgan Chase,74,J.P. Morgan Chase_HCM_project,Analyst,Offshore,5
Jan,BFS,HCM,J.P. Morgan Chase,74,J.P. Morgan Chase_HCM_project,Associate,Offshore,2
Jan,BFS,HCM,J.P. Morgan Chase,74,J.P. Morgan Chase_HCM_project,Contractor,Offshore,3
Jan,BFS,HCM,J.P. Morgan Chase,74,J.P. Morgan Chase_HCM_project,Contractor,Onsite,4
Jan,BFS,HCM,J.P. Morgan Chase,74,J.P. Morgan Chase_HCM_project,Senior Associate,Offshore,1
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Analyst,Offshore,3
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Analyst,Onsite,1
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Associate,Onsite,2
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Contractor,Offshore,1
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Manager,Offshore,3
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Senior Associate,Offshore,1
Jan,BFS,HCM,Lehman Brothers Hldgs.,283,Lehman Brothers Hldgs._HCM_project,Senior Associate,Onsite,1
Jan,BFS,HCM,Merrill Lynch,123,Merrill Lynch_HCM_project,Analyst,Offshore,2
Jan,BFS,HCM,Merrill Lynch,123,Merrill Lynch_HCM_project,Analyst,Onsite,2
Jan,BFS,HCM,Merrill Lynch,123,Merrill Lynch_HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Merrill Lynch,123,Merrill Lynch_HCM_project,Contractor,Offshore,3
Jan,BFS,HCM,Merrill Lynch,123,Merrill Lynch_HCM_project,Contractor,Onsite,3
Jan,BFS,HCM,Merrill Lynch,123,Merrill Lynch_HCM_project,Manager,Onsite,1
Jan,BFS,HCM,Merrill Lynch,123,Merrill Lynch_HCM_project,Senior Associate,Offshore,2
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Analyst,Offshore,4
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Analyst,Onsite,1
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Contractor,Offshore,1
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Director,Offshore,1
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Manager,Offshore,2
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Senior Associate,Offshore,1
Jan,BFS,HCM,Morgan Stanley,99,Morgan Stanley_HCM_project,Senior Associate,Onsite,1
Jan,BFS,HCM,New York Life Insurance,221,New York Life Insurance_HCM_project,Analyst,Offshore,1
Jan,BFS,HCM,New York Life Insurance,221,New York Life Insurance_HCM_project,Analyst,Onsite,1
Jan,BFS,HCM,New York Life Insurance,221,New York Life Insurance_HCM_project,Associate,Offshore,1
Jan,BFS,HCM,New York Life Insurance,221,New York Life Insurance_HCM_project,Associate,Onsite,2
Jan,BFS,HCM,New York Life Insurance,221,New York Life Insurance_HCM_project,Contractor,Offshore,5
Jan,BFS,HCM,New York Life Insurance,221,New York Life Insurance_HCM_project,Contractor,Onsite,1
Jan,BFS,HCM,New York Life Insurance,221,New York Life Insurance_HCM_project,Director,Onsite,1
Jan,BFS,HCM,Prudential Financial,198,Prudential Financial_HCM_project,Analyst,Onsite,2
Jan,BFS,HCM,Prudential Financial,198,Prudential Financial_HCM_project,Associate,Offshore,1
Jan,BFS,HCM,Prudential Financial,198,Prudential Financial_HCM_project,Associate,Onsite,2
Jan,BFS,HCM,Prudential Financial,198,Prudential Financial_HCM_project,Contractor,Offshore,2
Jan,BFS,HCM,Prudential Financial,198,Prudential Financial_HCM_project,Contractor,Onsite,1
Jan,BFS,HCM,Prudential Financial,198,Prudential Financial_HCM_project,Director,Offshore,1
Jan,BFS,HCM,Prudential Financial,198,Prudential Financial_HCM_project,Senior Associate,Offshore,2
Jan,BFS,HCM,Wells Fargo,204,Wells Fargo_HCM_project,Analyst,Offshore,6
Jan,BFS,HCM,Wells Fargo,204,Wells Fargo_HCM_project,Associate,Offshore,2
Jan,BFS,HCM,Wells Fargo,204,Wells Fargo_HCM_project,Associate,Onsite,1
Jan,BFS,HCM,Wells Fargo,204,Wells Fargo_HCM_project,Contractor,Offshore,6
Jan,BFS,HCM,Wells Fargo,204,Wells Fargo_HCM_project,Contractor,Onsite,3
Jan,BFS,HCM,Wells Fargo,204,Wells Fargo_HCM_project,Manager,Offshore,1
Jan,BFS,HCM,Wells Fargo,204,Wells Fargo_HCM_project,Senior Associate,Offshore,2
Jan,BFS,QA,American Express,278,American Express_QA_project,Analyst,Offshore,3
Jan,BFS,QA,American Express,278,American Express_QA_project,Associate,Offshore,4
Jan,BFS,QA,American Express,278,American Express_QA_project,Contractor,Offshore,4
Jan,BFS,QA,American Express,278,American Express_QA_project,Director,Offshore,1
Jan,BFS,QA,American Express,278,American Express_QA_project,Senior Manager,Offshore,2
Jan,BFS,QA,Bank of America Corp.,68,Bank of America Corp._QA_project,Analyst,Offshore,1
Jan,BFS,QA,Bank of America Corp.,68,Bank of America Corp._QA_project,Analyst,Onsite,1
Jan,BFS,QA,Bank of America Corp.,68,Bank of America Corp._QA_project,Associate,Onsite,2
Jan,BFS,QA,Bank of America Corp.,68,Bank of America Corp._QA_project,Contractor,Offshore,3
Jan,BFS,QA,Bank of America Corp.,68,Bank of America Corp._QA_project,Contractor,Onsite,1
Jan,BFS,QA,Bank of America Corp.,68,Bank of America Corp._QA_project,Senior Associate,Onsite,1
Jan,BFS,QA,Bank of America Corp.,68,Bank of America Corp._QA_project,Senior Manager,Offshore,1
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Analyst,Offshore,2
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Associate,Offshore,3
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Associate,Onsite,1
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Contractor,Offshore,7
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Contractor,Onsite,1
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Director,Offshore,1
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Senior Associate,Offshore,1
Jan,BFS,QA,Bank One Corp.,248,Bank One Corp._QA_project,Senior Associate,Onsite,1
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Analyst,Offshore,2
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Associate,Offshore,1
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Associate,Onsite,1
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Contractor,Offshore,4
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Contractor,Onsite,1
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Manager,Offshore,1
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Manager,Onsite,1
Jan,BFS,QA,Berkshire Hathaway,133,Berkshire Hathaway_QA_project,Senior Associate,Offshore,1
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Associate,Offshore,1
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Associate,Onsite,1
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Contractor,Offshore,3
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Contractor,Onsite,1
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Director,Offshore,2
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Manager,Offshore,1
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Senior Associate,Offshore,1
Jan,BFS,QA,ChevronTexaco,27,ChevronTexaco_QA_project,Senior Manager,Onsite,1
Jan,BFS,QA,Citigroup,24,Citigroup_QA_project,Analyst,Offshore,2
Jan,BFS,QA,Citigroup,24,Citigroup_QA_project,Analyst,Onsite,3
Jan,BFS,QA,Citigroup,24,Citigroup_QA_project,Associate,Offshore,2
Jan,BFS,QA,Citigroup,24,Citigroup_QA_project,Associate,Onsite,1
Jan,BFS,QA,Citigroup,24,Citigroup_QA_project,Contractor,Offshore,5
Jan,BFS,QA,Citigroup,24,Citigroup_QA_project,Contractor,Onsite,2
Jan,BFS,QA,Citigroup,24,Citigroup_QA_project,Senior Associate,Offshore,1
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Analyst,Onsite,1
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Associate,Offshore,1
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Contractor,Offshore,3
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Director,Offshore,1
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Director,Onsite,1
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Manager,Onsite,1
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Senior Associate,Offshore,2
Jan,BFS,QA,Fannie Mae,71,Fannie Mae_QA_project,Senior Manager,Offshore,1
Jan,BFS,QA,Freddie Mac,138,Freddie Mac_QA_project,Analyst,Offshore,1
Jan,BFS,QA,Freddie Mac,138,Freddie Mac_QA_project,Analyst,Onsite,2
Jan,BFS,QA,Freddie Mac,138,Freddie Mac_QA_project,Associate,Offshore,1
Jan,BFS,QA,Freddie Mac,138,Freddie Mac_QA_project,Contractor,Offshore,3
Jan,BFS,QA,Freddie Mac,138,Freddie Mac_QA_project,Contractor,Onsite,1
Jan,BFS,QA,Freddie Mac,138,Freddie Mac_QA_project,Manager,Offshore,1
Jan,BFS,QA,Freddie Mac,138,Freddie Mac_QA_project,Senior Associate,Onsite,1
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Analyst,Offshore,1
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Analyst,Onsite,1
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Associate,Offshore,4
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Contractor,Offshore,1
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Contractor,Onsite,2
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Director,Onsite,1
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Manager,Offshore,2
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Senior Manager,Offshore,1
Jan,BFS,QA,Goldman Sachs Group,174,Goldman Sachs Group_QA_project,Senior Manager,Onsite,1
Jan,BFS,QA,J.P. Morgan Chase,76,J.P. Morgan Chase_QA_project,Analyst,Offshore,1
Jan,BFS,QA,J.P. Morgan Chase,76,J.P. Morgan Chase_QA_project,Analyst,Onsite,2
Jan,BFS,QA,J.P. Morgan Chase,76,J.P. Morgan Chase_QA_project,Contractor,Offshore,1
Jan,BFS,QA,J.P. Morgan Chase,76,J.P. Morgan Chase_QA_project,Contractor,Onsite,2
Jan,BFS,QA,J.P. Morgan Chase,76,J.P. Morgan Chase_QA_project,Senior Associate,Offshore,3
Jan,BFS,QA,Lehman Brothers Hldgs.,285,Lehman Brothers Hldgs._QA_project,Analyst,Offshore,3
Jan,BFS,QA,Lehman Brothers Hldgs.,285,Lehman Brothers Hldgs._QA_project,Associate,Offshore,2
Jan,BFS,QA,Lehman Brothers Hldgs.,285,Lehman Brothers Hldgs._QA_project,Contractor,Offshore,3
Jan,BFS,QA,Lehman Brothers Hldgs.,285,Lehman Brothers Hldgs._QA_project,Contractor,Onsite,1
Jan,BFS,QA,Lehman Brothers Hldgs.,285,Lehman Brothers Hldgs._QA_project,Director,Onsite,2
Jan,BFS,QA,Lehman Brothers Hldgs.,285,Lehman Brothers Hldgs._QA_project,Manager,Offshore,1
Jan,BFS,QA,Lehman Brothers Hldgs.,285,Lehman Brothers Hldgs._QA_project,Senior Associate,Offshore,1
Jan,BFS,QA,Merrill Lynch,125,Merrill Lynch_QA_project,Analyst,Offshore,1
