Month,Vertical,Client,Horizontal,Project Id,Project Name,Comment,Onsite/Offshore,Billing Type,Revenue,Compensation,Travel Expense,Software Licenses,Subcontracting Costs,Margin
Jan,BFS,ChevronTexaco,QA,27,ChevronTexaco_QA_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,ChevronTexaco,QA,27,ChevronTexaco_QA_project,(blank),Offshore,FixedBid,47157.76,7384.615385,3400,1220,21445,13708.14462
Jan,BFS,ChevronTexaco,QA,27,ChevronTexaco_QA_project,(blank),Onsite,FixedBid,25950.72,14000,950,500,12936,-2435.28
Jan,BFS,ChevronTexaco,QA,27,ChevronTexaco_QA_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,ChevronTexaco,SAP,26,ChevronTexaco_SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,ChevronTexaco,SAP,26,ChevronTexaco_SAP_project,(blank),Offshore,T&M,78014.57,10307.69231,7200,1310,24575,34621.87769
Jan,BFS,ChevronTexaco,SAP,26,ChevronTexaco_SAP_project,(blank),Onsite,T&M,34435.28,24000,1000,320,0,9115.28
Jan,BFS,ChevronTexaco,SAP,26,ChevronTexaco_SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,Analytics,21,Citigroup_Analytics_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,Analytics,21,Citigroup_Analytics_project,(blank),Offshore,T&M,37804.32,4615.384615,3550,1230,6888,21520.93538
Jan,BFS,Citigroup,Analytics,21,Citigroup_Analytics_project,(blank),Onsite,T&M,62852.76,27750,1900,560,18030,14612.76
Jan,BFS,Citigroup,Analytics,21,Citigroup_Analytics_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,HCM,22,Citigroup_HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,HCM,22,Citigroup_HCM_project,(blank),Offshore,T&M,66287.43,10230.76923,6650,1490,8085,39831.66077
Jan,BFS,Citigroup,HCM,22,Citigroup_HCM_project,(blank),Onsite,T&M,40491.99,21250,1000,350,12236,5655.99
Jan,BFS,Citigroup,HCM,22,Citigroup_HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,QA,24,Citigroup_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,QA,24,Citigroup_QA_project,(blank),Offshore,T&M,37190.88,2923.076923,3150,1500,36443,-6825.196923
Jan,BFS,Citigroup,QA,24,Citigroup_QA_project,(blank),Onsite,T&M,35493.12,21916.66667,2700,1770,23792,-14685.54667
Jan,BFS,Citigroup,QA,24,Citigroup_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,SAP,23,Citigroup_SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Citigroup,SAP,23,Citigroup_SAP_project,(blank),Offshore,T&M,38815.2,4384.615385,2650,670,16296,14814.58462
Jan,BFS,Citigroup,SAP,23,Citigroup_SAP_project,(blank),Onsite,T&M,21297.6,16250,1700,800,0,2547.6
Jan,BFS,Citigroup,SAP,23,Citigroup_SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Fannie Mae,HCM,69,Fannie Mae_HCM_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Fannie Mae,HCM,69,Fannie Mae_HCM_project,(blank),Offshore,FixedBid,49123.36,3769.230769,2450,2420,21971,18513.12923
Jan,BFS,Fannie Mae,HCM,69,Fannie Mae_HCM_project,(blank),Onsite,FixedBid,42759.2,15416.66667,200,450,11644,15048.53333
Jan,BFS,Fannie Mae,HCM,69,Fannie Mae_HCM_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Fannie Mae,QA,71,Fannie Mae_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Fannie Mae,QA,71,Fannie Mae_QA_project,(blank),Offshore,T&M,43413.696,6307.692308,3100,950,20284,12772.00369
Jan,BFS,Fannie Mae,QA,71,Fannie Mae_QA_project,(blank),Onsite,T&M,30287.616,22083.33333,2200,1160,0,4844.282667
Jan,BFS,Fannie Mae,QA,71,Fannie Mae_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Fannie Mae,SAP,70,Fannie Mae_SAP_project,Adjustments,(blank),T&M,-28815.339,0,0,0,0,-28815.339
Jan,BFS,Fannie Mae,SAP,70,Fannie Mae_SAP_project,(blank),Offshore,T&M,43126.45,6076.923077,2000,1200,7348,26501.52692
Jan,BFS,Fannie Mae,SAP,70,Fannie Mae_SAP_project,(blank),Onsite,T&M,37369.1,7500,1100,950,25750,2069.1
Jan,BFS,Fannie Mae,SAP,70,Fannie Mae_SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Freddie Mac,Analytics,135,Freddie Mac_Analytics_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Freddie Mac,Analytics,135,Freddie Mac_Analytics_project,(blank),Offshore,FixedBid,17418.24,2384.615385,1400,560,0,13073.62462
Jan,BFS,Freddie Mac,Analytics,135,Freddie Mac_Analytics_project,(blank),Onsite,FixedBid,7464.96,5416.666667,200,160,0,1688.293333
Jan,BFS,Freddie Mac,Analytics,135,Freddie Mac_Analytics_project,True Up/Down,(blank),FixedBid,14897.2608,0,0,0,0,14897.2608
Jan,BFS,Freddie Mac,HCM,136,Freddie Mac_HCM_project,Adjustments,(blank),T&M,-7329.47292,0,0,0,0,-7329.47292
Jan,BFS,Freddie Mac,HCM,136,Freddie Mac_HCM_project,(blank),Offshore,T&M,53936.685,7230.769231,2950,520,19301,23934.91577
Jan,BFS,Freddie Mac,HCM,136,Freddie Mac_HCM_project,(blank),Onsite,T&M,7142.256,5416.666667,1750,100,0,-124.4106667
Jan,BFS,Freddie Mac,HCM,136,Freddie Mac_HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Freddie Mac,QA,138,Freddie Mac_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Freddie Mac,QA,138,Freddie Mac_QA_project,(blank),Offshore,T&M,19751.04,2230.769231,1700,880,22011,-7070.729231
Jan,BFS,Freddie Mac,QA,138,Freddie Mac_QA_project,(blank),Onsite,T&M,23203.584,17083.33333,2250,960,12450,-9539.749333
Jan,BFS,Freddie Mac,QA,138,Freddie Mac_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Freddie Mac,SAP,137,Freddie Mac_SAP_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Freddie Mac,SAP,137,Freddie Mac_SAP_project,(blank),Offshore,FixedBid,34473.6,5538.461538,2650,510,15669,10106.13846
Jan,BFS,Freddie Mac,SAP,137,Freddie Mac_SAP_project,(blank),Onsite,FixedBid,46526.4,25666.66667,1800,2200,19934,-3074.266667
Jan,BFS,Freddie Mac,SAP,137,Freddie Mac_SAP_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Goldman Sachs Group,HCM,172,Goldman Sachs Group_HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Goldman Sachs Group,HCM,172,Goldman Sachs Group_HCM_project,(blank),Offshore,T&M,43441.596,4615.384615,1400,410,16932,20084.21138
Jan,BFS,Goldman Sachs Group,HCM,172,Goldman Sachs Group_HCM_project,(blank),Onsite,T&M,40201.92,16250,1950,420,12768,8813.92
Jan,BFS,Goldman Sachs Group,HCM,172,Goldman Sachs Group_HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Goldman Sachs Group,QA,174,Goldman Sachs Group_QA_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Goldman Sachs Group,QA,174,Goldman Sachs Group_QA_project,(blank),Offshore,FixedBid,42439.68,6846.153846,3250,830,7084,24429.52615
Jan,BFS,Goldman Sachs Group,QA,174,Goldman Sachs Group_QA_project,(blank),Onsite,FixedBid,47278.08,22916.66667,2200,910,24300,-3048.586667
Jan,BFS,Goldman Sachs Group,QA,174,Goldman Sachs Group_QA_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Goldman Sachs Group,SAP,173,Goldman Sachs Group_SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Goldman Sachs Group,SAP,173,Goldman Sachs Group_SAP_project,(blank),Offshore,T&M,49540.68,2461.538462,3700,1170,38306,3903.141538
Jan,BFS,Goldman Sachs Group,SAP,173,Goldman Sachs Group_SAP_project,(blank),Onsite,T&M,24498.72,0,750,20,24995,-1266.28
Jan,BFS,Goldman Sachs Group,SAP,173,Goldman Sachs Group_SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,Analytics,73,J.P. Morgan Chase_Analytics_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,Analytics,73,J.P. Morgan Chase_Analytics_project,(blank),Offshore,FixedBid,67668.48,4461.538462,3950,1570,24608,33078.94154
Jan,BFS,J.P. Morgan Chase,Analytics,73,J.P. Morgan Chase_Analytics_project,(blank),Onsite,FixedBid,83255.04,31333.33333,2150,1000,24480,24291.70667
Jan,BFS,J.P. Morgan Chase,Analytics,73,J.P. Morgan Chase_Analytics_project,True Up/Down,(blank),FixedBid,-18901.5552,0,0,0,0,-18901.5552
Jan,BFS,J.P. Morgan Chase,Cloud,72,J.P. Morgan Chase_Cloud_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,Cloud,72,J.P. Morgan Chase_Cloud_project,(blank),Offshore,FixedBid,26801.28,2307.692308,3750,980,15781,3982.587692
Jan,BFS,J.P. Morgan Chase,Cloud,72,J.P. Morgan Chase_Cloud_project,True Up/Down,(blank),FixedBid,-7185.024,0,0,0,0,-7185.024
Jan,BFS,J.P. Morgan Chase,HCM,74,J.P. Morgan Chase_HCM_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,HCM,74,J.P. Morgan Chase_HCM_project,(blank),Offshore,FixedBid,53665.92,4076.923077,5850,1560,22867,19311.99692
Jan,BFS,J.P. Morgan Chase,HCM,74,J.P. Morgan Chase_HCM_project,(blank),Onsite,FixedBid,45650.88,0,2100,810,45733,-2992.12
Jan,BFS,J.P. Morgan Chase,HCM,74,J.P. Morgan Chase_HCM_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,QA,76,J.P. Morgan Chase_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,QA,76,J.P. Morgan Chase_QA_project,(blank),Offshore,T&M,17149.968,3153.846154,1600,280,8150,3966.121846
Jan,BFS,J.P. Morgan Chase,QA,76,J.P. Morgan Chase_QA_project,(blank),Onsite,T&M,30678.912,10833.33333,2750,710,23345,-6959.421333
Jan,BFS,J.P. Morgan Chase,QA,76,J.P. Morgan Chase_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,SAP,75,J.P. Morgan Chase_SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,J.P. Morgan Chase,SAP,75,J.P. Morgan Chase_SAP_project,(blank),Offshore,T&M,47077.47,5769.230769,1850,1820,8400,29238.23923
Jan,BFS,J.P. Morgan Chase,SAP,75,J.P. Morgan Chase_SAP_project,(blank),Onsite,T&M,19602,6250,200,0,12792,360
Jan,BFS,J.P. Morgan Chase,SAP,75,J.P. Morgan Chase_SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,Analytics,282,Lehman Brothers Hldgs._Analytics_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,Analytics,282,Lehman Brothers Hldgs._Analytics_project,(blank),Offshore,FixedBid,60023.04,6923.076923,4550,920,9020,38609.96308
Jan,BFS,Lehman Brothers Hldgs.,Analytics,282,Lehman Brothers Hldgs._Analytics_project,(blank),Onsite,FixedBid,36126.72,20250,200,500,0,15176.72
Jan,BFS,Lehman Brothers Hldgs.,Analytics,282,Lehman Brothers Hldgs._Analytics_project,True Up/Down,(blank),FixedBid,12687.6288,0,0,0,0,12687.6288
Jan,BFS,Lehman Brothers Hldgs.,Cloud,281,Lehman Brothers Hldgs._Cloud_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,Cloud,281,Lehman Brothers Hldgs._Cloud_project,(blank),Offshore,T&M,56809.62,5846.153846,3700,1210,39840,6213.466154
Jan,BFS,Lehman Brothers Hldgs.,Cloud,281,Lehman Brothers Hldgs._Cloud_project,(blank),Onsite,T&M,19432.224,8333.333333,1100,650,10220,-871.1093333
Jan,BFS,Lehman Brothers Hldgs.,Cloud,281,Lehman Brothers Hldgs._Cloud_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,HCM,283,Lehman Brothers Hldgs._HCM_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,HCM,283,Lehman Brothers Hldgs._HCM_project,(blank),Offshore,FixedBid,50364.16,6384.615385,3500,1260,8313,30906.54462
Jan,BFS,Lehman Brothers Hldgs.,HCM,283,Lehman Brothers Hldgs._HCM_project,(blank),Onsite,FixedBid,37255.68,23000,4000,180,0,10075.68
Jan,BFS,Lehman Brothers Hldgs.,HCM,283,Lehman Brothers Hldgs._HCM_project,True Up/Down,(blank),FixedBid,49115.4048,0,0,0,0,49115.4048
Jan,BFS,Lehman Brothers Hldgs.,QA,285,Lehman Brothers Hldgs._QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,QA,285,Lehman Brothers Hldgs._QA_project,(blank),Offshore,T&M,40413.632,4538.461538,4900,1070,23497,6408.170462
Jan,BFS,Lehman Brothers Hldgs.,QA,285,Lehman Brothers Hldgs._QA_project,(blank),Onsite,T&M,25613.28,18333.33333,1500,0,11760,-5980.053333
Jan,BFS,Lehman Brothers Hldgs.,QA,285,Lehman Brothers Hldgs._QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,SAP,284,Lehman Brothers Hldgs._SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Lehman Brothers Hldgs.,SAP,284,Lehman Brothers Hldgs._SAP_project,(blank),Offshore,T&M,30512.3,2769.230769,1650,910,7181,18002.06923
Jan,BFS,Lehman Brothers Hldgs.,SAP,284,Lehman Brothers Hldgs._SAP_project,(blank),Onsite,T&M,11501.28,0,2000,0,12714,-3212.72
Jan,BFS,Lehman Brothers Hldgs.,SAP,284,Lehman Brothers Hldgs._SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Merrill Lynch,HCM,123,Merrill Lynch_HCM_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Merrill Lynch,HCM,123,Merrill Lynch_HCM_project,(blank),Offshore,FixedBid,53838.4,3230.769231,2600,760,22981,24266.63077
Jan,BFS,Merrill Lynch,HCM,123,Merrill Lynch_HCM_project,(blank),Onsite,FixedBid,70030.4,18333.33333,0,240,36972,14485.06667
Jan,BFS,Merrill Lynch,HCM,123,Merrill Lynch_HCM_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Merrill Lynch,QA,125,Merrill Lynch_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Merrill Lynch,QA,125,Merrill Lynch_QA_project,(blank),Offshore,T&M,28733.44,1000,2300,510,28523,-3599.56
Jan,BFS,Merrill Lynch,QA,125,Merrill Lynch_QA_project,(blank),Onsite,T&M,33539.52,17333.33333,700,320,11972,3214.186667
Jan,BFS,Merrill Lynch,QA,125,Merrill Lynch_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Merrill Lynch,SAP,124,Merrill Lynch_SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Merrill Lynch,SAP,124,Merrill Lynch_SAP_project,(blank),Offshore,T&M,75733.25,10307.69231,5950,2430,7896,49149.55769
Jan,BFS,Merrill Lynch,SAP,124,Merrill Lynch_SAP_project,(blank),Onsite,T&M,60922.4,31083.33333,1000,670,13193,14976.06667
Jan,BFS,Merrill Lynch,SAP,124,Merrill Lynch_SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Morgan Stanley,Analytics,98,Morgan Stanley_Analytics_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Morgan Stanley,Analytics,98,Morgan Stanley_Analytics_project,(blank),Offshore,FixedBid,56624.64,5307.692308,2900,730,15200,32486.94769
Jan,BFS,Morgan Stanley,Analytics,98,Morgan Stanley_Analytics_project,(blank),Onsite,FixedBid,23270.4,5416.666667,1500,550,12936,2867.733333
Jan,BFS,Morgan Stanley,Analytics,98,Morgan Stanley_Analytics_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Morgan Stanley,HCM,99,Morgan Stanley_HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Morgan Stanley,HCM,99,Morgan Stanley_HCM_project,(blank),Offshore,T&M,56799.875,7846.153846,4250,1420,6400,36883.72115
Jan,BFS,Morgan Stanley,HCM,99,Morgan Stanley_HCM_project,(blank),Onsite,T&M,19518.048,11666.66667,2500,150,0,5201.381333
Jan,BFS,Morgan Stanley,HCM,99,Morgan Stanley_HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Morgan Stanley,QA,101,Morgan Stanley_QA_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Morgan Stanley,QA,101,Morgan Stanley_QA_project,(blank),Offshore,FixedBid,67742.72,8384.615385,5600,1130,37199,15429.10462
Jan,BFS,Morgan Stanley,QA,101,Morgan Stanley_QA_project,(blank),Onsite,FixedBid,46282.24,17083.33333,2400,1600,34316,-9117.093333
Jan,BFS,Morgan Stanley,QA,101,Morgan Stanley_QA_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,Morgan Stanley,SAP,100,Morgan Stanley_SAP_project,Adjustments,(blank),FixedBid,17242.72,0,0,0,0,17242.72
Jan,BFS,Morgan Stanley,SAP,100,Morgan Stanley_SAP_project,(blank),Offshore,FixedBid,21492.8,4461.538462,2350,70,0,14611.26154
Jan,BFS,Morgan Stanley,SAP,100,Morgan Stanley_SAP_project,(blank),Onsite,FixedBid,27956.8,5416.666667,1200,300,17325,3715.133333
Jan,BFS,Morgan Stanley,SAP,100,Morgan Stanley_SAP_project,True Up/Down,(blank),FixedBid,1567.52,0,0,0,0,1567.52
Jan,BFS,New York Life Insurance,Analytics,220,New York Life Insurance_Analytics_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,New York Life Insurance,Analytics,220,New York Life Insurance_Analytics_project,(blank),Offshore,FixedBid,54956.16,3384.615385,3150,2010,33810,12601.54462
Jan,BFS,New York Life Insurance,Analytics,220,New York Life Insurance_Analytics_project,(blank),Onsite,FixedBid,42094.08,5416.666667,2150,1060,37822,-4354.586667
Jan,BFS,New York Life Insurance,Analytics,220,New York Life Insurance_Analytics_project,True Up/Down,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,New York Life Insurance,Cloud,219,New York Life Insurance_Cloud_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,New York Life Insurance,Cloud,219,New York Life Insurance_Cloud_project,(blank),Offshore,FixedBid,27686.88,4153.846154,1250,1110,14294,6879.033846
Jan,BFS,New York Life Insurance,Cloud,219,New York Life Insurance_Cloud_project,(blank),Onsite,FixedBid,18040.32,0,0,70,18914,-943.68
Jan,BFS,New York Life Insurance,Cloud,219,New York Life Insurance_Cloud_project,True Up/Down,(blank),FixedBid,-809.3088,0,0,0,0,-809.3088
Jan,BFS,New York Life Insurance,HCM,221,New York Life Insurance_HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,New York Life Insurance,HCM,221,New York Life Insurance_HCM_project,(blank),Offshore,T&M,35005.146,1000,4650,1230,34935,-6809.854
